"game_date","matchup","player_id","player_name","prop_type","player_prop","dk_decimal_odds","implied_probability"
"2026-03-14","BKN Nets @ PHI 76ers","713774","Noah Clowney","Points","Points 6+","1.09","0.917431"
"2026-03-14","BKN Nets @ PHI 76ers","713774","Noah Clowney","Points","Points 8+","1.22","0.819672"
"2026-03-14","BKN Nets @ PHI 76ers","713774","Noah Clowney","Points","Points 10+","1.44","0.694444"
"2026-03-14","BKN Nets @ PHI 76ers","713774","Noah Clowney","Points","Points 12+","1.8","0.555556"
"2026-03-14","BKN Nets @ PHI 76ers","713774","Noah Clowney","Points","Points 15+","2.73","0.366300"
"2026-03-14","BKN Nets @ PHI 76ers","713774","Noah Clowney","Points","Points 18+","4.52","0.221239"
"2026-03-14","BKN Nets @ PHI 76ers","713774","Noah Clowney","Points","Points 20+","6.6","0.151515"
"2026-03-14","BKN Nets @ PHI 76ers","713774","Noah Clowney","Points","Points 25+","17.2","0.058140"
"2026-03-14","BKN Nets @ PHI 76ers","905576","Danny Wolf","Points","Points 6+","1.03","0.970874"
"2026-03-14","BKN Nets @ PHI 76ers","905576","Danny Wolf","Points","Points 8+","1.11","0.900901"
"2026-03-14","BKN Nets @ PHI 76ers","905576","Danny Wolf","Points","Points 10+","1.24","0.806452"
"2026-03-14","BKN Nets @ PHI 76ers","905576","Danny Wolf","Points","Points 12+","1.45","0.689655"
"2026-03-14","BKN Nets @ PHI 76ers","905576","Danny Wolf","Points","Points 14+","1.78","0.561798"
"2026-03-14","BKN Nets @ PHI 76ers","905576","Danny Wolf","Points","Points 15+","2.01","0.497512"
"2026-03-14","BKN Nets @ PHI 76ers","905576","Danny Wolf","Points","Points 18+","3.07","0.325733"
"2026-03-14","BKN Nets @ PHI 76ers","905576","Danny Wolf","Points","Points 20+","4.25","0.235294"
"2026-03-14","BKN Nets @ PHI 76ers","905576","Danny Wolf","Points","Points 25+","10.8","0.092593"
"2026-03-14","BKN Nets @ PHI 76ers","905576","Danny Wolf","Points","Points 30+","25","0.040000"
"2026-03-14","BKN Nets @ PHI 76ers","905568","Nolan Traore","Points","Points 6+","1.11","0.900901"
"2026-03-14","BKN Nets @ PHI 76ers","905568","Nolan Traore","Points","Points 8+","1.28","0.781250"
"2026-03-14","BKN Nets @ PHI 76ers","905568","Nolan Traore","Points","Points 10+","1.6","0.625000"
"2026-03-14","BKN Nets @ PHI 76ers","905568","Nolan Traore","Points","Points 11+","1.81","0.552486"
"2026-03-14","BKN Nets @ PHI 76ers","905568","Nolan Traore","Points","Points 12+","2.11","0.473934"
"2026-03-14","BKN Nets @ PHI 76ers","905568","Nolan Traore","Points","Points 15+","3.62","0.276243"
"2026-03-14","BKN Nets @ PHI 76ers","905568","Nolan Traore","Points","Points 18+","6.92","0.144509"
"2026-03-14","BKN Nets @ PHI 76ers","905568","Nolan Traore","Points","Points 20+","10.6","0.094340"
"2026-03-14","BKN Nets @ PHI 76ers","905568","Nolan Traore","Points","Points 25+","28","0.035714"
"2026-03-14","BKN Nets @ PHI 76ers","713803","Jalen Wilson","Points","Points 6+","1.26","0.793651"
"2026-03-14","BKN Nets @ PHI 76ers","713803","Jalen Wilson","Points","Points 8+","1.55","0.645161"
"2026-03-14","BKN Nets @ PHI 76ers","713803","Jalen Wilson","Points","Points 9+","1.78","0.561798"
"2026-03-14","BKN Nets @ PHI 76ers","713803","Jalen Wilson","Points","Points 10+","2.08","0.480769"
"2026-03-14","BKN Nets @ PHI 76ers","713803","Jalen Wilson","Points","Points 12+","2.99","0.334448"
"2026-03-14","BKN Nets @ PHI 76ers","713803","Jalen Wilson","Points","Points 15+","5.62","0.177936"
"2026-03-14","BKN Nets @ PHI 76ers","713803","Jalen Wilson","Points","Points 18+","11.2","0.089286"
"2026-03-14","BKN Nets @ PHI 76ers","713803","Jalen Wilson","Points","Points 20+","17","0.058824"
"2026-03-14","BKN Nets @ PHI 76ers","33375","Cameron Payne","Points","Points 6+","1.09","0.917431"
"2026-03-14","BKN Nets @ PHI 76ers","33375","Cameron Payne","Points","Points 8+","1.21","0.826446"
"2026-03-14","BKN Nets @ PHI 76ers","33375","Cameron Payne","Points","Points 10+","1.43","0.699301"
"2026-03-14","BKN Nets @ PHI 76ers","33375","Cameron Payne","Points","Points 12+","1.78","0.561798"
"2026-03-14","BKN Nets @ PHI 76ers","33375","Cameron Payne","Points","Points 15+","2.74","0.364964"
"2026-03-14","BKN Nets @ PHI 76ers","33375","Cameron Payne","Points","Points 18+","4.64","0.215517"
"2026-03-14","BKN Nets @ PHI 76ers","33375","Cameron Payne","Points","Points 20+","6.73","0.148588"
"2026-03-14","BKN Nets @ PHI 76ers","33375","Cameron Payne","Points","Points 25+","18","0.055556"
"2026-03-14","BKN Nets @ PHI 76ers","591030","Quentin Grimes","Points","Points 10+","1.04","0.961538"
"2026-03-14","BKN Nets @ PHI 76ers","591030","Quentin Grimes","Points","Points 12+","1.09","0.917431"
"2026-03-14","BKN Nets @ PHI 76ers","591030","Quentin Grimes","Points","Points 15+","1.24","0.806452"
"2026-03-14","BKN Nets @ PHI 76ers","591030","Quentin Grimes","Points","Points 18+","1.51","0.662252"
"2026-03-14","BKN Nets @ PHI 76ers","591030","Quentin Grimes","Points","Points 20+","1.8","0.555556"
"2026-03-14","BKN Nets @ PHI 76ers","591030","Quentin Grimes","Points","Points 25+","3.2","0.312500"
"2026-03-14","BKN Nets @ PHI 76ers","591030","Quentin Grimes","Points","Points 30+","6.86","0.145773"
"2026-03-14","BKN Nets @ PHI 76ers","591030","Quentin Grimes","Points","Points 35+","15","0.066667"
"2026-03-14","BKN Nets @ PHI 76ers","591030","Quentin Grimes","Points","Points 40+","30","0.033333"
"2026-03-14","BKN Nets @ PHI 76ers","905574","Ben Saraf","Points","Points 6+","1.3","0.769231"
"2026-03-14","BKN Nets @ PHI 76ers","905574","Ben Saraf","Points","Points 8+","1.68","0.595238"
"2026-03-14","BKN Nets @ PHI 76ers","905574","Ben Saraf","Points","Points 9+","1.98","0.505051"
"2026-03-14","BKN Nets @ PHI 76ers","905574","Ben Saraf","Points","Points 10+","2.38","0.420168"
"2026-03-14","BKN Nets @ PHI 76ers","905574","Ben Saraf","Points","Points 12+","3.63","0.275482"
