"game_date","matchup","player_id","player_name","prop_type","player_prop","dk_decimal_odds","implied_probability"
"2026-03-15","MIN Timberwolves @ OKC Thunder","33126","Alex Caruso","Points","Points 6+","1.62","0.617284"
"2026-03-15","MIN Timberwolves @ OKC Thunder","33126","Alex Caruso","Points","Points 7+","1.88","0.531915"
"2026-03-15","MIN Timberwolves @ OKC Thunder","33126","Alex Caruso","Points","Points 8+","2.23","0.448430"
"2026-03-15","MIN Timberwolves @ OKC Thunder","33126","Alex Caruso","Points","Points 10+","3.34","0.299401"
"2026-03-15","MIN Timberwolves @ OKC Thunder","33126","Alex Caruso","Points","Points 12+","5.26","0.190114"
"2026-03-15","MIN Timberwolves @ OKC Thunder","33126","Alex Caruso","Points","Points 15+","10.7","0.093458"
"2026-03-15","MIN Timberwolves @ OKC Thunder","33126","Alex Caruso","Points","Points 18+","20.6","0.048544"
"2026-03-15","MIN Timberwolves @ OKC Thunder","33126","Alex Caruso","Points","Points 20+","28","0.035714"
"2026-03-15","MIN Timberwolves @ OKC Thunder","527259","Isaiah Joe","Points","Points 6+","1.57","0.636943"
"2026-03-15","MIN Timberwolves @ OKC Thunder","527259","Isaiah Joe","Points","Points 7+","1.83","0.546448"
"2026-03-15","MIN Timberwolves @ OKC Thunder","527259","Isaiah Joe","Points","Points 8+","2.03","0.492611"
"2026-03-15","MIN Timberwolves @ OKC Thunder","527259","Isaiah Joe","Points","Points 10+","2.82","0.354610"
"2026-03-15","MIN Timberwolves @ OKC Thunder","527259","Isaiah Joe","Points","Points 12+","3.88","0.257732"
"2026-03-15","MIN Timberwolves @ OKC Thunder","527259","Isaiah Joe","Points","Points 15+","6.61","0.151286"
"2026-03-15","MIN Timberwolves @ OKC Thunder","527259","Isaiah Joe","Points","Points 18+","11.6","0.086207"
"2026-03-15","MIN Timberwolves @ OKC Thunder","527259","Isaiah Joe","Points","Points 20+","16.2","0.061728"
"2026-03-15","MIN Timberwolves @ OKC Thunder","800653","Ajay Mitchell","Points","Points 6+","1.04","0.961538"
"2026-03-15","MIN Timberwolves @ OKC Thunder","800653","Ajay Mitchell","Points","Points 8+","1.13","0.884956"
"2026-03-15","MIN Timberwolves @ OKC Thunder","800653","Ajay Mitchell","Points","Points 10+","1.27","0.787402"
"2026-03-15","MIN Timberwolves @ OKC Thunder","800653","Ajay Mitchell","Points","Points 12+","1.51","0.662252"
"2026-03-15","MIN Timberwolves @ OKC Thunder","800653","Ajay Mitchell","Points","Points 14+","1.86","0.537634"
"2026-03-15","MIN Timberwolves @ OKC Thunder","800653","Ajay Mitchell","Points","Points 15+","2.08","0.480769"
"2026-03-15","MIN Timberwolves @ OKC Thunder","800653","Ajay Mitchell","Points","Points 18+","3.19","0.313480"
"2026-03-15","MIN Timberwolves @ OKC Thunder","800653","Ajay Mitchell","Points","Points 20+","4.43","0.225734"
"2026-03-15","MIN Timberwolves @ OKC Thunder","800653","Ajay Mitchell","Points","Points 25+","10.7","0.093458"
"2026-03-15","MIN Timberwolves @ OKC Thunder","800653","Ajay Mitchell","Points","Points 30+","24","0.041667"
"2026-03-15","MIN Timberwolves @ OKC Thunder","33234","Julius Randle","Points","Points 10+","1.07","0.934579"
"2026-03-15","MIN Timberwolves @ OKC Thunder","33234","Julius Randle","Points","Points 12+","1.15","0.869565"
"2026-03-15","MIN Timberwolves @ OKC Thunder","33234","Julius Randle","Points","Points 15+","1.38","0.724638"
"2026-03-15","MIN Timberwolves @ OKC Thunder","33234","Julius Randle","Points","Points 18+","1.81","0.552486"
"2026-03-15","MIN Timberwolves @ OKC Thunder","33234","Julius Randle","Points","Points 20+","2.26","0.442478"
"2026-03-15","MIN Timberwolves @ OKC Thunder","33234","Julius Randle","Points","Points 25+","4.59","0.217865"
"2026-03-15","MIN Timberwolves @ OKC Thunder","33234","Julius Randle","Points","Points 30+","10.7","0.093458"
"2026-03-15","MIN Timberwolves @ OKC Thunder","33234","Julius Randle","Points","Points 35+","24","0.041667"
"2026-03-15","MIN Timberwolves @ OKC Thunder","591043","Ayo Dosunmu","Points","Points 6+","1.13","0.884956"
"2026-03-15","MIN Timberwolves @ OKC Thunder","591043","Ayo Dosunmu","Points","Points 8+","1.31","0.763359"
"2026-03-15","MIN Timberwolves @ OKC Thunder","591043","Ayo Dosunmu","Points","Points 10+","1.61","0.621118"
"2026-03-15","MIN Timberwolves @ OKC Thunder","591043","Ayo Dosunmu","Points","Points 11+","1.81","0.552486"
