"game_date","matchup","player_id","player_name","prop_type","player_prop","dk_decimal_odds","implied_probability"
"2026-03-09","PHI 76ers @ CLE Cavaliers","33398","Donovan Mitchell","Points","Points 15+","1.03","0.970874"
"2026-03-09","PHI 76ers @ CLE Cavaliers","33398","Donovan Mitchell","Points","Points 18+","1.1","0.909091"
"2026-03-09","PHI 76ers @ CLE Cavaliers","33398","Donovan Mitchell","Points","Points 20+","1.17","0.854701"
"2026-03-09","PHI 76ers @ CLE Cavaliers","33398","Donovan Mitchell","Points","Points 25+","1.56","0.641026"
"2026-03-09","PHI 76ers @ CLE Cavaliers","33398","Donovan Mitchell","Points","Points 27+","1.85","0.540541"
"2026-03-09","PHI 76ers @ CLE Cavaliers","33398","Donovan Mitchell","Points","Points 30+","2.52","0.396825"
"2026-03-09","PHI 76ers @ CLE Cavaliers","33398","Donovan Mitchell","Points","Points 35+","4.77","0.209644"
"2026-03-09","PHI 76ers @ CLE Cavaliers","33398","Donovan Mitchell","Points","Points 40+","10.1","0.099010"
"2026-03-09","PHI 76ers @ CLE Cavaliers","33398","Donovan Mitchell","Points","Points 45+","21","0.047619"
"2026-03-09","PHI 76ers @ CLE Cavaliers","649593","Jabari Walker","Points","Points 6+","1.22","0.819672"
"2026-03-09","PHI 76ers @ CLE Cavaliers","649593","Jabari Walker","Points","Points 8+","1.5","0.666667"
"2026-03-09","PHI 76ers @ CLE Cavaliers","649593","Jabari Walker","Points","Points 10+","1.97","0.507614"
"2026-03-09","PHI 76ers @ CLE Cavaliers","649593","Jabari Walker","Points","Points 12+","2.74","0.364964"
"2026-03-09","PHI 76ers @ CLE Cavaliers","649593","Jabari Walker","Points","Points 15+","5.05","0.198020"
"2026-03-09","PHI 76ers @ CLE Cavaliers","649593","Jabari Walker","Points","Points 18+","9.9","0.101010"
"2026-03-09","PHI 76ers @ CLE Cavaliers","649593","Jabari Walker","Points","Points 20+","15.4","0.064935"
"2026-03-09","PHI 76ers @ CLE Cavaliers","33251","Dennis Schroder","Points","Points 6+","1.22","0.819672"
"2026-03-09","PHI 76ers @ CLE Cavaliers","33251","Dennis Schroder","Points","Points 8+","1.48","0.675676"
"2026-03-09","PHI 76ers @ CLE Cavaliers","33251","Dennis Schroder","Points","Points 10+","1.9","0.526316"
"2026-03-09","PHI 76ers @ CLE Cavaliers","33251","Dennis Schroder","Points","Points 12+","2.61","0.383142"
"2026-03-09","PHI 76ers @ CLE Cavaliers","33251","Dennis Schroder","Points","Points 15+","4.58","0.218341"
"2026-03-09","PHI 76ers @ CLE Cavaliers","33251","Dennis Schroder","Points","Points 18+","8.4","0.119048"
"2026-03-09","PHI 76ers @ CLE Cavaliers","33251","Dennis Schroder","Points","Points 20+","12.6","0.079365"
"2026-03-09","PHI 76ers @ CLE Cavaliers","33251","Dennis Schroder","Points","Points 25+","28","0.035714"
"2026-03-09","PHI 76ers @ CLE Cavaliers","591030","Quentin Grimes","Points","Points 8+","1.03","0.970874"
"2026-03-09","PHI 76ers @ CLE Cavaliers","591030","Quentin Grimes","Points","Points 10+","1.08","0.925926"
"2026-03-09","PHI 76ers @ CLE Cavaliers","591030","Quentin Grimes","Points","Points 12+","1.17","0.854701"
"2026-03-09","PHI 76ers @ CLE Cavaliers","591030","Quentin Grimes","Points","Points 15+","1.38","0.724638"
"2026-03-09","PHI 76ers @ CLE Cavaliers","591030","Quentin Grimes","Points","Points 18+","1.76","0.568182"
"2026-03-09","PHI 76ers @ CLE Cavaliers","591030","Quentin Grimes","Points","Points 19+","1.96","0.510204"
"2026-03-09","PHI 76ers @ CLE Cavaliers","591030","Quentin Grimes","Points","Points 20+","2.17","0.460829"
"2026-03-09","PHI 76ers @ CLE Cavaliers","591030","Quentin Grimes","Points","Points 25+","4.05","0.246914"
"2026-03-09","PHI 76ers @ CLE Cavaliers","591030","Quentin Grimes","Points","Points 30+","8.6","0.116279"
"2026-03-09","PHI 76ers @ CLE Cavaliers","591030","Quentin Grimes","Points","Points 35+","17.8","0.056180"
