"game_date","matchup","player_id","player_name","prop_type","player_prop","dk_decimal_odds","implied_probability"
"2026-03-11","CLE Cavaliers @ ORL Magic","33251","Dennis Schroder","Points","Points 6+","1.25","0.800000"
"2026-03-11","CLE Cavaliers @ ORL Magic","33251","Dennis Schroder","Points","Points 8+","1.57","0.636943"
"2026-03-11","CLE Cavaliers @ ORL Magic","33251","Dennis Schroder","Points","Points 9+","1.8","0.555556"
"2026-03-11","CLE Cavaliers @ ORL Magic","33251","Dennis Schroder","Points","Points 10+","2.12","0.471698"
"2026-03-11","CLE Cavaliers @ ORL Magic","33251","Dennis Schroder","Points","Points 12+","3.1","0.322581"
"2026-03-11","CLE Cavaliers @ ORL Magic","33251","Dennis Schroder","Points","Points 15+","6.16","0.162338"
"2026-03-11","CLE Cavaliers @ ORL Magic","33251","Dennis Schroder","Points","Points 18+","12.6","0.079365"
"2026-03-11","CLE Cavaliers @ ORL Magic","33251","Dennis Schroder","Points","Points 20+","19.8","0.050505"
"2026-03-11","CLE Cavaliers @ ORL Magic","527237","Desmond Bane","Points","Points 12+","1.04","0.961538"
"2026-03-11","CLE Cavaliers @ ORL Magic","527237","Desmond Bane","Points","Points 15+","1.14","0.877193"
"2026-03-11","CLE Cavaliers @ ORL Magic","527237","Desmond Bane","Points","Points 18+","1.33","0.751880"
"2026-03-11","CLE Cavaliers @ ORL Magic","527237","Desmond Bane","Points","Points 20+","1.53","0.653595"
"2026-03-11","CLE Cavaliers @ ORL Magic","527237","Desmond Bane","Points","Points 22+","1.84","0.543478"
"2026-03-11","CLE Cavaliers @ ORL Magic","527237","Desmond Bane","Points","Points 25+","2.59","0.386100"
"2026-03-11","CLE Cavaliers @ ORL Magic","527237","Desmond Bane","Points","Points 30+","5.41","0.184843"
"2026-03-11","CLE Cavaliers @ ORL Magic","527237","Desmond Bane","Points","Points 35+","12.8","0.078125"
"2026-03-11","CLE Cavaliers @ ORL Magic","527237","Desmond Bane","Points","Points 40+","27","0.037037"
"2026-03-11","CLE Cavaliers @ ORL Magic","33070","James Harden","Points","Points 10+","1.03","0.970874"
"2026-03-11","CLE Cavaliers @ ORL Magic","33070","James Harden","Points","Points 12+","1.09","0.917431"
"2026-03-11","CLE Cavaliers @ ORL Magic","33070","James Harden","Points","Points 15+","1.23","0.813008"
"2026-03-11","CLE Cavaliers @ ORL Magic","33070","James Harden","Points","Points 18+","1.49","0.671141"
"2026-03-11","CLE Cavaliers @ ORL Magic","33070","James Harden","Points","Points 20+","1.76","0.568182"
"2026-03-11","CLE Cavaliers @ ORL Magic","33070","James Harden","Points","Points 21+","1.95","0.512821"
"2026-03-11","CLE Cavaliers @ ORL Magic","33070","James Harden","Points","Points 25+","3.15","0.317460"
"2026-03-11","CLE Cavaliers @ ORL Magic","33070","James Harden","Points","Points 30+","6.74","0.148368"
"2026-03-11","CLE Cavaliers @ ORL Magic","33070","James Harden","Points","Points 35+","15.2","0.065789"
"2026-03-11","CLE Cavaliers @ ORL Magic","33070","James Harden","Points","Points 40+","28","0.035714"
"2026-03-11","CLE Cavaliers @ ORL Magic","590986","Evan Mobley","Points","Points 8+","1.03","0.970874"
"2026-03-11","CLE Cavaliers @ ORL Magic","590986","Evan Mobley","Points","Points 10+","1.09","0.917431"
"2026-03-11","CLE Cavaliers @ ORL Magic","590986","Evan Mobley","Points","Points 12+","1.21","0.826446"
"2026-03-11","CLE Cavaliers @ ORL Magic","590986","Evan Mobley","Points","Points 15+","1.53","0.653595"
"2026-03-11","CLE Cavaliers @ ORL Magic","590986","Evan Mobley","Points","Points 17+","1.9","0.526316"
"2026-03-11","CLE Cavaliers @ ORL Magic","590986","Evan Mobley","Points","Points 18+","2.15","0.465116"
"2026-03-11","CLE Cavaliers @ ORL Magic","590986","Evan Mobley","Points","Points 20+","2.9","0.344828"
"2026-03-11","CLE Cavaliers @ ORL Magic","590986","Evan Mobley","Points","Points 25+","6.92","0.144509"
"2026-03-11","CLE Cavaliers @ ORL Magic","590986","Evan Mobley","Points","Points 30+","18.6","0.053763"
"2026-03-11","CLE Cavaliers @ ORL Magic","649544","Paolo Banchero","Points","Points 12+","1.02","0.980392"
